State,Number of Locations,Latitude,Longitude
Johor,40,1.9344,103.3587
Kedah,10,6.0499,100.5296
Kelantan,6,5.1151,101.8892
Kuala Lumpur,45,3.1319,101.6841
Labuan,1,5.2831,115.230827
Melaka,12,2.3263,102.3464
Negeri Sembilan,16,2.8707,102.2548
Pahang,17,3.9743,102.4381
Pulau Pinang,23,5.2632,100.4846
Perak,18,4.8073,100.8
Perlis,1,6.517,100.2152
Putrajaya,4,2.9264,101.6964
Sabah,15,5.4204,116.7968
Sarawak,13,2.5574,113.0012
Selangor,97,3.5092,101.5248
Terengganu,5,5.0936,102.9896
